"filename", "language", "Markdown", "C++", "C", "comment", "blank", "total"
"/Users/steveyu/algorithm/2018年冬季PAT真题/7-1.Google Recruitment.cpp", "C++", 0, 22, 0, 0, 1, 23
"/Users/steveyu/algorithm/2018年冬季PAT真题/7-2.Decode Registration Card of PAT.cpp", "C++", 0, 65, 0, 2, 1, 68
"/Users/steveyu/algorithm/2018年冬季PAT真题/7-3.vetex color.cpp", "C++", 0, 28, 0, 2, 1, 31
"/Users/steveyu/algorithm/2018年冬季PAT真题/7-4.Heap Path.cpp", "C++", 0, 35, 0, 0, 1, 36
"/Users/steveyu/algorithm/2019年冬季PAT真题/1.HelloWorld.cpp", "C++", 0, 36, 0, 2, 0, 38
"/Users/steveyu/algorithm/2019年冬季PAT真题/2.BlockReversing.cpp", "C++", 0, 36, 0, 2, 1, 39
"/Users/steveyu/algorithm/2019年冬季PAT真题/3.summit.cpp", "C++", 0, 43, 0, 2, 1, 46
"/Users/steveyu/algorithm/2019年冬季PAT真题/4.Cartesian Tree.cpp", "C++", 0, 42, 0, 2, 1, 45
"/Users/steveyu/algorithm/2019年秋季PAT真题/7-1.forever num.cpp", "C++", 0, 59, 0, 2, 14, 75
"/Users/steveyu/algorithm/2019年秋季PAT真题/7-2.merging linked list.cpp", "C++", 0, 48, 0, 0, 0, 48
"/Users/steveyu/algorithm/2019年秋季PAT真题/7-3.postfix express.cpp", "C++", 0, 29, 0, 0, 0, 29
"/Users/steveyu/algorithm/2019年秋季PAT真题/7-4.dijstra sequence.cpp", "C++", 0, 56, 0, 3, 14, 73
"/Users/steveyu/algorithm/3.23试卷/7-1.Knuth洗牌法.cpp", "C++", 0, 17, 0, 0, 0, 17
"/Users/steveyu/algorithm/3.23试卷/7-2.三阶幸福数.cpp", "C++", 0, 34, 0, 0, 0, 34
"/Users/steveyu/algorithm/3.23试卷/7-3.垃圾分类.cpp", "C++", 0, 27, 0, 0, 0, 27
"/Users/steveyu/algorithm/PTA520/test.cpp", "C++", 0, 35, 0, 0, 0, 35
"/Users/steveyu/algorithm/PTA520/test2.cpp", "C++", 0, 4, 0, 0, 1, 5
"/Users/steveyu/algorithm/README.md", "Markdown", 2, 0, 0, 0, 2, 4
"/Users/steveyu/algorithm/advanced/1001.A+B format.cpp", "C++", 0, 20, 0, 0, 1, 21
"/Users/steveyu/algorithm/advanced/1002.A+B for Polynomials.cpp", "C++", 0, 22, 0, 0, 1, 23
"/Users/steveyu/algorithm/advanced/1003.Emergency(练习堆优化).cpp", "C++", 0, 47, 0, 0, 1, 48
"/Users/steveyu/algorithm/advanced/1003.Emergency.cpp", "C++", 0, 48, 0, 0, 1, 49
"/Users/steveyu/algorithm/advanced/1004.counting leaves.cpp", "C++", 0, 48, 0, 0, 0, 48
"/Users/steveyu/algorithm/advanced/1005.spell it right.cpp", "C++", 0, 16, 0, 0, 1, 17
"/Users/steveyu/algorithm/advanced/1006.Sign in and Sign out.cpp", "C++", 0, 21, 0, 0, 1, 22
"/Users/steveyu/algorithm/advanced/1007.Maximum Subsequence Sum.cpp", "C++", 0, 24, 0, 1, 1, 26
"/Users/steveyu/algorithm/advanced/1008.elevator.cpp", "C++", 0, 15, 0, 0, 1, 16
"/Users/steveyu/algorithm/advanced/1009.Product of Polynomials.cpp", "C++", 0, 27, 0, 0, 1, 28
"/Users/steveyu/algorithm/advanced/1010.Radix.cpp", "C++", 0, 26, 0, 0, 1, 27
"/Users/steveyu/algorithm/advanced/1011.World Cup Betting.cpp", "C++", 0, 24, 0, 0, 1, 25
"/Users/steveyu/algorithm/advanced/1012.The Best Rank.cpp", "C++", 0, 45, 0, 0, 1, 46
"/Users/steveyu/algorithm/advanced/1013.Battle Over Cities.cpp", "C++", 0, 37, 0, 0, 1, 38
"/Users/steveyu/algorithm/advanced/1014.Waiting in line.cpp", "C++", 0, 60, 0, 0, 1, 61
"/Users/steveyu/algorithm/advanced/1015.Reversible Primes.cpp", "C++", 0, 38, 0, 0, 1, 39
"/Users/steveyu/algorithm/advanced/1016.Phone Bills.cpp", "C++", 0, 56, 0, 0, 0, 56
"/Users/steveyu/algorithm/advanced/1017.Queueing at Bank.cpp", "C++", 0, 36, 0, 0, 0, 36
"/Users/steveyu/algorithm/advanced/1018.Public Bike Management.cpp", "C++", 0, 36, 0, 0, 0, 36
"/Users/steveyu/algorithm/advanced/1019.General Palindromic Number.cpp", "C++", 0, 21, 0, 0, 1, 22
"/Users/steveyu/algorithm/advanced/1020.Tree Traversals.cpp", "C++", 0, 35, 0, 0, 1, 36
"/Users/steveyu/algorithm/advanced/1021.Deepest Root.cpp", "C++", 0, 47, 0, 2, 0, 49
"/Users/steveyu/algorithm/advanced/1022.Digital Library.cpp", "C++", 0, 42, 0, 0, 1, 43
"/Users/steveyu/algorithm/advanced/1023.Have Fun with Numbers.cpp", "C++", 0, 30, 0, 0, 0, 30
"/Users/steveyu/algorithm/advanced/1024.Palidromic Number.cpp", "C++", 0, 29, 0, 0, 0, 29
"/Users/steveyu/algorithm/advanced/1025.PAT Ranking.cpp", "C++", 0, 47, 0, 0, 1, 48
"/Users/steveyu/algorithm/advanced/1026.Table Tennis.cpp", "C++", 0, 119, 0, 0, 0, 119
"/Users/steveyu/algorithm/advanced/1027.Colors in Mars.cpp", "C++", 0, 9, 0, 0, 1, 10
"/Users/steveyu/algorithm/advanced/1028.List Sorting.cpp", "C++", 0, 22, 0, 0, 1, 23
"/Users/steveyu/algorithm/advanced/1029.Median.cpp", "C++", 0, 30, 0, 0, 1, 31
"/Users/steveyu/algorithm/advanced/1030.Travel Plan.cpp", "C++", 0, 30, 0, 0, 1, 31
"/Users/steveyu/algorithm/advanced/1031.Hello World for U.cpp", "C++", 0, 17, 0, 0, 1, 18
"/Users/steveyu/algorithm/advanced/1032.Sharing.cpp", "C++", 0, 35, 0, 3, 1, 39
"/Users/steveyu/algorithm/advanced/1033.To Fill or Not to Fill.cpp", "C++", 0, 61, 0, 0, 0, 61
"/Users/steveyu/algorithm/advanced/1034.Head of Gang.cpp", "C++", 0, 61, 0, 0, 0, 61
"/Users/steveyu/algorithm/advanced/1035.Password.cpp", "C++", 0, 29, 0, 0, 1, 30
"/Users/steveyu/algorithm/advanced/1036.Boys and Girls.cpp", "C++", 0, 28, 0, 0, 1, 29
"/Users/steveyu/algorithm/advanced/1037.Magic Coupon.cpp", "C++", 0, 17, 0, 0, 1, 18
"/Users/steveyu/algorithm/advanced/1038.Recover the Smallest Number.cpp", "C++", 0, 23, 0, 0, 1, 24
"/Users/steveyu/algorithm/advanced/1039.Course List for Student.cpp", "C++", 0, 25, 0, 0, 1, 26
"/Users/steveyu/algorithm/advanced/1040.Longest Symmetric String.cpp", "C++", 0, 19, 0, 0, 1, 20
"/Users/steveyu/algorithm/advanced/1041.Be Unique.cpp", "C++", 0, 20, 0, 0, 1, 21
"/Users/steveyu/algorithm/advanced/1042.Shuffling Machine.cpp", "C++", 0, 27, 0, 0, 1, 28
"/Users/steveyu/algorithm/advanced/1043.Is it a Binary Search Tree.cpp", "C++", 0, 41, 0, 0, 0, 41
"/Users/steveyu/algorithm/advanced/1044.Shopping in Mars.cpp", "C++", 0, 42, 0, 0, 0, 42
"/Users/steveyu/algorithm/advanced/1045.Favorite Color Stripe.cpp", "C++", 0, 27, 0, 0, 0, 27
"/Users/steveyu/algorithm/advanced/1046.Shortest Distance.cpp", "C++", 0, 23, 0, 0, 1, 24
"/Users/steveyu/algorithm/advanced/1047.Student List for Course.cpp", "C++", 0, 26, 0, 0, 1, 27
"/Users/steveyu/algorithm/advanced/1048.FindCoins.cpp", "C++", 0, 21, 0, 0, 1, 22
"/Users/steveyu/algorithm/advanced/1049.Counting Ones.cpp", "C++", 0, 15, 0, 0, 0, 15
"/Users/steveyu/algorithm/advanced/1050.String Subtraction.cpp", "C++", 0, 13, 0, 0, 1, 14
"/Users/steveyu/algorithm/advanced/1051.Pop Sequence.cpp", "C++", 0, 26, 0, 0, 0, 26
"/Users/steveyu/algorithm/advanced/1052.Linked List Sorting.cpp", "C++", 0, 36, 0, 0, 0, 36
"/Users/steveyu/algorithm/advanced/1053.Path of Equal Weight.cpp", "C++", 0, 46, 0, 0, 1, 47
"/Users/steveyu/algorithm/advanced/1054.The Dominant Color.cpp", "C++", 0, 24, 0, 0, 1, 25
"/Users/steveyu/algorithm/advanced/1055.The World's Richest.cpp", "C++", 0, 34, 0, 0, 1, 35
"/Users/steveyu/algorithm/advanced/1056.Mice and Rice.cpp", "C++", 0, 62, 0, 0, 0, 62
"/Users/steveyu/algorithm/advanced/1057.Stack.cpp", "C++", 0, 55, 0, 0, 0, 55
"/Users/steveyu/algorithm/advanced/1058.A+B in Hogwarts.cpp", "C++", 0, 11, 0, 0, 1, 12
"/Users/steveyu/algorithm/advanced/1059.Prime Factors.cpp", "C++", 0, 11, 0, 0, 1, 12
"/Users/steveyu/algorithm/advanced/1060.Are They Equal.cpp", "C++", 0, 43, 0, 0, 1, 44
"/Users/steveyu/algorithm/advanced/1061.Dating.cpp", "C++", 0, 24, 0, 0, 0, 24
"/Users/steveyu/algorithm/advanced/1062.Talent and Virtue.cpp", "C++", 0, 35, 0, 0, 1, 36
"/Users/steveyu/algorithm/advanced/1063.Set Similarity.cpp", "C++", 0, 27, 0, 0, 1, 28
"/Users/steveyu/algorithm/advanced/1064.Complete Binary Search Tree.cpp", "C++", 0, 25, 0, 0, 1, 26
"/Users/steveyu/algorithm/advanced/1065.A+B and C.cpp", "C++", 0, 21, 0, 0, 0, 21
"/Users/steveyu/algorithm/advanced/1066.Root of AVL Tree.cpp", "C++", 0, 58, 0, 6, 0, 64
"/Users/steveyu/algorithm/advanced/1067.Sort with Swap(0,i).cpp", "C++", 0, 27, 0, 0, 0, 27
"/Users/steveyu/algorithm/advanced/1068.Find More Coins.cpp", "C++", 0, 39, 0, 0, 0, 39
"/Users/steveyu/algorithm/advanced/1069.The Black Hole of Numbers.cpp", "C++", 0, 18, 0, 0, 1, 19
"/Users/steveyu/algorithm/advanced/1070.Mooncake.cpp", "C++", 0, 33, 0, 0, 1, 34
"/Users/steveyu/algorithm/advanced/1071.Speech Patterns.cpp", "C++", 0, 25, 0, 0, 1, 26
"/Users/steveyu/algorithm/advanced/1072.Gas Station.cpp", "C++", 0, 80, 0, 0, 1, 81
"/Users/steveyu/algorithm/advanced/1073.Scientific Notation.cpp", "C++", 0, 35, 0, 0, 1, 36
"/Users/steveyu/algorithm/advanced/1074.Reversing Linked List.cpp", "C++", 0, 36, 0, 0, 0, 36
"/Users/steveyu/algorithm/advanced/1075.PAT Judge.cpp", "C++", 0, 66, 0, 0, 2, 68
"/Users/steveyu/algorithm/advanced/1076.Forward on Weibo.cpp", "C++", 0, 51, 0, 0, 1, 52
"/Users/steveyu/algorithm/advanced/1077.Kuchiguse.cpp", "C++", 0, 26, 0, 0, 1, 27
"/Users/steveyu/algorithm/advanced/1078.Hashing.cpp", "C++", 0, 30, 0, 0, 1, 31
"/Users/steveyu/algorithm/advanced/1079.Total Sales of Supply Chain.cpp", "C++", 0, 31, 0, 0, 0, 31
"/Users/steveyu/algorithm/advanced/1080.Graduate Admission.cpp", "C++", 0, 51, 0, 0, 0, 51
"/Users/steveyu/algorithm/advanced/1081.Rational Sum.cpp", "C++", 0, 45, 0, 0, 1, 46
"/Users/steveyu/algorithm/advanced/1082.Read Number in Chinese.cpp", "C++", 0, 47, 0, 0, 1, 48
"/Users/steveyu/algorithm/advanced/1083.List Grades.cpp", "C++", 0, 33, 0, 0, 2, 35
"/Users/steveyu/algorithm/advanced/1084.Broken Keyboards.cpp", "C++", 0, 20, 0, 0, 1, 21
"/Users/steveyu/algorithm/advanced/1085.Perfect Sequence.cpp", "C++", 0, 27, 0, 0, 1, 28
"/Users/steveyu/algorithm/advanced/1086.Tree Traversals Again.cpp", "C++", 0, 36, 0, 0, 1, 37
"/Users/steveyu/algorithm/advanced/1087.All Roads Lead to Rome.cpp", "C++", 0, 91, 0, 0, 0, 91
"/Users/steveyu/algorithm/advanced/1088.Rational Arithmetic.cpp", "C++", 0, 46, 0, 6, 1, 53
"/Users/steveyu/algorithm/advanced/1089.Insert or Merge.cpp", "C++", 0, 38, 0, 0, 0, 38
"/Users/steveyu/algorithm/advanced/1090.Highest Price in Supply Chain.cpp", "C++", 0, 29, 0, 0, 1, 30
"/Users/steveyu/algorithm/advanced/1091.Acute Stroke.cpp", "C++", 0, 62, 0, 0, 1, 63
"/Users/steveyu/algorithm/advanced/1092.To Buy or Not to Buy.cpp", "C++", 0, 18, 0, 0, 1, 19
"/Users/steveyu/algorithm/advanced/1093.Count PAT's.cpp", "C++", 0, 17, 0, 0, 1, 18
"/Users/steveyu/algorithm/advanced/1094.The Largest Generation.cpp", "C++", 0, 35, 0, 0, 1, 36
"/Users/steveyu/algorithm/advanced/1095.Cars on Campus.cpp", "C++", 0, 74, 0, 0, 0, 74
"/Users/steveyu/algorithm/advanced/1096.Consecutive Factors.cpp", "C++", 0, 29, 0, 0, 1, 30
"/Users/steveyu/algorithm/advanced/1097.Deduplication on a Linked List.cpp", "C++", 0, 38, 0, 0, 1, 39
"/Users/steveyu/algorithm/advanced/1098.Insertion or Heap Sort.cpp", "C++", 0, 37, 0, 0, 0, 37
"/Users/steveyu/algorithm/advanced/1099.Build A Binary Search Tree.cpp", "C++", 0, 35, 0, 0, 0, 35
"/Users/steveyu/algorithm/advanced/1100.Mars Numbers.cpp", "C++", 0, 38, 0, 0, 1, 39
"/Users/steveyu/algorithm/advanced/1101.Quick Sort.cpp", "C++", 0, 26, 0, 0, 1, 27
"/Users/steveyu/algorithm/advanced/1102.Invert a Binary Tree.cpp", "C++", 0, 59, 0, 0, 1, 60
"/Users/steveyu/algorithm/advanced/1103.Integer Factorization.cpp", "C++", 0, 45, 0, 0, 1, 46
"/Users/steveyu/algorithm/advanced/1104.Sum of Number Segments.cpp", "C++", 0, 14, 0, 0, 1, 15
"/Users/steveyu/algorithm/advanced/1105.Spiral Matrix.cpp", "C++", 0, 43, 0, 0, 0, 43
"/Users/steveyu/algorithm/advanced/1106.Lowest Price in Supply Chain.cpp", "C++", 0, 35, 0, 0, 0, 35
"/Users/steveyu/algorithm/advanced/1107.Social Clusters.cpp", "C++", 0, 52, 0, 0, 0, 52
"/Users/steveyu/algorithm/advanced/1108.find average.cpp", "C++", 0, 32, 0, 1, 0, 33
"/Users/steveyu/algorithm/advanced/1109.Group Photo.cpp", "C++", 0, 40, 0, 0, 0, 40
"/Users/steveyu/algorithm/advanced/1110.Complete Binary Tree.cpp", "C++", 0, 48, 0, 0, 0, 48
"/Users/steveyu/algorithm/advanced/1111.Online Map.cpp", "C++", 0, 111, 0, 4, 1, 116
"/Users/steveyu/algorithm/advanced/1112.Stucked Keyboard.cpp", "C++", 0, 45, 0, 0, 0, 45
"/Users/steveyu/algorithm/advanced/1113.Integer Set Partition.cpp", "C++", 0, 18, 0, 0, 0, 18
"/Users/steveyu/algorithm/advanced/1114.Family Property.cpp", "C++", 0, 81, 0, 0, 0, 81
"/Users/steveyu/algorithm/advanced/1115.Counting Nodes in a BST.cpp", "C++", 0, 28, 0, 0, 0, 28
"/Users/steveyu/algorithm/advanced/1116.Come on! Let's C.cpp", "C++", 0, 36, 0, 0, 1, 37
"/Users/steveyu/algorithm/advanced/1117.Eddington Number.cpp", "C++", 0, 15, 0, 0, 0, 15
"/Users/steveyu/algorithm/advanced/1118.Birds in Forest.cpp", "C++", 0, 46, 0, 0, 0, 46
"/Users/steveyu/algorithm/advanced/1119.pre- and post-order traversals.cpp", "C++", 0, 40, 0, 0, 0, 40
"/Users/steveyu/algorithm/advanced/1120.Friend Numbers.cpp", "C++", 0, 21, 0, 0, 0, 21
"/Users/steveyu/algorithm/advanced/1121.Damn Single.cpp", "C++", 0, 41, 0, 0, 0, 41
"/Users/steveyu/algorithm/advanced/1122.Hamiltonian Cycle.cpp", "C++", 0, 33, 0, 0, 0, 33
"/Users/steveyu/algorithm/advanced/1123.Is It a Complete AVL Tree.cpp", "C++", 0, 82, 0, 0, 0, 82
"/Users/steveyu/algorithm/advanced/1124.Raffle for Weibo Followers.cpp", "C++", 0, 19, 0, 0, 0, 19
"/Users/steveyu/algorithm/advanced/1125.Chain the Ropes.cpp", "C++", 0, 15, 0, 0, 0, 15
"/Users/steveyu/algorithm/advanced/1126.Eulerian Path.cpp", "C++", 0, 36, 0, 1, 0, 37
"/Users/steveyu/algorithm/advanced/1127.ZigZagging.cpp", "C++", 0, 54, 0, 0, 0, 54
"/Users/steveyu/algorithm/advanced/1128.N Queens Puzzle.cpp", "C++", 0, 23, 0, 0, 0, 23
"/Users/steveyu/algorithm/advanced/1129.Recommendation System.cpp", "C++", 0, 31, 0, 0, 0, 31
"/Users/steveyu/algorithm/advanced/1130.Infix Expression.cpp", "C++", 0, 32, 0, 0, 0, 32
"/Users/steveyu/algorithm/advanced/1131.Subway Map.cpp", "C++", 0, 69, 0, 0, 0, 69
"/Users/steveyu/algorithm/advanced/1132.Cut Integer.cpp", "C++", 0, 14, 0, 0, 0, 14
"/Users/steveyu/algorithm/advanced/1133.Splitting A Linked List.cpp", "C++", 0, 35, 0, 0, 0, 35
"/Users/steveyu/algorithm/advanced/1134.Vertex Cover.cpp", "C++", 0, 28, 0, 0, 0, 28
"/Users/steveyu/algorithm/advanced/1135.Is It A Red-Black Tree.cpp", "C++", 0, 46, 0, 0, 0, 46
"/Users/steveyu/algorithm/advanced/1136.A Delayed Palindrome.cpp", "C++", 0, 57, 0, 0, 0, 57
"/Users/steveyu/algorithm/advanced/1137.Final Grading.cpp", "C++", 0, 51, 0, 0, 0, 51
"/Users/steveyu/algorithm/advanced/1138.Postorder Traversal.cpp", "C++", 0, 21, 0, 0, 0, 21
"/Users/steveyu/algorithm/advanced/1139.First Contact.cpp", "C++", 0, 40, 0, 0, 0, 40
"/Users/steveyu/algorithm/advanced/1140.Look-and-say Sequence.cpp", "C++", 0, 24, 0, 0, 0, 24
"/Users/steveyu/algorithm/advanced/1141.PAT Ranking of Institutions.cpp", "C++", 0, 56, 0, 0, 0, 56
"/Users/steveyu/algorithm/advanced/1142.Maximal Clique.cpp", "C++", 0, 42, 0, 1, 0, 43
"/Users/steveyu/algorithm/advanced/1143.Lowest Common Ancestor.cpp", "C++", 0, 48, 0, 0, 0, 48
"/Users/steveyu/algorithm/advanced/1144.The Missing Number.cpp", "C++", 0, 19, 0, 0, 0, 19
"/Users/steveyu/algorithm/advanced/1145.Hash - Average Search Time.cpp", "C++", 0, 39, 0, 0, 2, 41
"/Users/steveyu/algorithm/advanced/1146.Topological Order.cpp", "C++", 0, 31, 0, 0, 0, 31
"/Users/steveyu/algorithm/advanced/1147.Heaps.cpp", "C++", 0, 39, 0, 0, 0, 39
"/Users/steveyu/algorithm/advanced/1148.Werewolf - Simple Version.cpp", "C++", 0, 25, 0, 0, 1, 26
"/Users/steveyu/algorithm/advanced/1149.Dangerous Goods Packaging.cpp", "C++", 0, 37, 0, 0, 0, 37
"/Users/steveyu/algorithm/advanced/1150.Travelling Salesman Problem.cpp", "C++", 0, 41, 0, 0, 0, 41
"/Users/steveyu/algorithm/advanced/1151.LCA in a Binary Tree.cpp", "C++", 0, 54, 0, 0, 1, 55
